WordLabel,SyllLabel,PrimaryStress,SecondaryStress,SyllCV
nowadays,2_3,1,3,V
nowadays,3_3,1,3,CVVC
diffcult,1_3,1,0,CV
diffcult,2_3,1,0,CV
diffcult,3_3,1,0,CVCC
transportation,1_4,3,1,CCVCC
transportation,2_4,3,1,CVC
transportation,3_4,3,1,CVV
transportation,4_4,3,1,CVC
there's,1_1,NA,NA,NA
bus,1_1,1,0,CVC
change,1_1,1,0,CVVCC
generate,1_3,1,3,CV
generate,2_3,1,3,CV
generate,3_3,1,3,CVVC
generative,1_4,1,0,CV
generative,2_4,1,0,CV
generative,3_4,1,0,CV
generative,4_4,1,0,CVC
ambiguous,1_4,2,0,VC
ambiguous,2_4,2,0,CV
ambiguous,3_4,2,0,CCV
ambiguous,4_4,2,0,VC
second,1_2,1,0,CV
second,2_2,1,0,CVCC
tip,1_1,1,0,CVC
impose,1_2,2,1,VC
impose,2_2,2,1,CVC
fifteen,1_2,2,0,CVC
fifteen,2_2,2,0,CVC
percent,1_2,2,0,CVC
percent,2_2,2,0,CVCC
fee:,1_1,1,0,CV
city,1_2,1,0,CV
city,2_2,1,0,CV
our,1_1,NA,NA,NA
a:,1_1,0,0,V
pittsburgh's,1_2,1,0,CVC
pittsburgh's,2_2,1,0,CVCCC
***,4_4,NA,NA,NA
there're,2_2,NA,NA,NA
subway:,1_2,1,2,CVC
subway:,2_2,1,2,CVV
buses,1_2,1,0,CV
buses,2_2,1,0,CVC
taxis,1_2,1,0,CVC
taxis,2_2,1,0,CVC
cheap,1_1,1,0,CVC
comfta?,1_1,NA,NA,NA
comfortable,1_4,1,0,CVC
comfortable,2_4,1,0,CVC
comfortable,3_4,1,0,CV
comfortable,4_4,1,0,CVC
own,1_1,1,0,VVC
small:,1_1,1,0,CCVC
in a,1_1,NA,NA,NA
rush,1_1,1,0,CVC
hour,1_2,1,0,CVVC
hour,2_2,1,0,CVVC
problem,1_2,1,0,CCV
problem,2_2,1,0,CCVC
subway,1_2,1,2,CVC
subway,2_2,1,2,CVV
busy,1_2,1,0,CV
busy,2_2,1,0,CV
If,1_1,1,0,VC
you'd,1_1,1,0,CVC
eh?,1_1,NA,NA,NA
know,1_1,1,0,CVV
I'll,1_1,1,0,VVC
you:,1_1,1,0,CV
prepare,1_2,2,0,CCV
prepare,2_2,2,0,CVC
passport,1_2,2,1,CVC
passport,2_2,2,1,CVCC
shouldn't,1_2,1,0,CV
shouldn't,2_2,1,0,CVCC
come,1_1,1,0,CVC
should,1_1,1,0,CVC
go:,1_1,1,0,CV
kyeongbokgung,1_3,123,0,CCVC
kyeongbokgung,2_3,123,0,CVC
kyeongbokgung,3_3,123,0,CVC
there:,1_1,1,0,CVC
there is?,1_1,NA,NA,NA
beautiful:,1_3,1,0,CCV
beautiful:,2_3,1,0,CV
beautiful:,3_3,1,0,CVC
famous:,1_2,1,0,CVV
famous:,2_2,1,0,CVC
place,1_1,1,0,CCVVC
take,1_1,1,0,CVVC
taxi,1_2,1,0,CVC
taxi,2_2,1,0,CV
expensive,1_3,2,0,VCC
expensive,2_3,2,0,CVC
expensive,3_3,2,0,CVC
